street,x,y,type,hour,week_day,day_type,day,month,year,minute
Av. Edmundo Pérez Zujovic,-70.395678,-23.633135,JAM,19,4,s,23,8,2024,22
Av. Pedro Aguirre Cerda,-70.388847,-23.605074,JAM,19,4,s,23,8,2024,24
Av. Grecia,-70.402469,-23.656596,JAM,19,4,s,23,8,2024,33
Av. Séptimo de Línea,-70.396073,-23.64016,JAM,20,4,s,23,8,2024,3
Av. Edmundo Pérez Zujovic,-70.396154,-23.630697,JAM,20,4,s,23,8,2024,5
Av. Edmundo Pérez Zujovic,-70.395679,-23.632478,JAM,20,4,s,23,8,2024,18
Av. Edmundo Pérez Zujovic,-70.395955,-23.631551,JAM,20,4,s,23,8,2024,27
Av. Edmundo Pérez Zujovic,-70.395735,-23.63459,JAM,20,4,s,23,8,2024,34
Av. Edmundo Pérez Zujovic,-70.392154,-23.604707,JAM,20,4,s,23,8,2024,30
Av. Balmaceda,-70.399447,-23.645456,JAM,20,4,s,23,8,2024,48
Av. Balmaceda,-70.400676,-23.646412,JAM,20,4,s,23,8,2024,49
Av. Edmundo Pérez Zujovic,-70.395761,-23.632124,JAM,20,4,s,23,8,2024,46
Av. Iquique,-70.393381,-23.639331,JAM,20,4,s,23,8,2024,45
Av. Balmaceda,-70.398568,-23.644778,JAM,20,4,s,23,8,2024,50
Av. Edmundo Pérez Zujovic,-70.391955,-23.60998,JAM,21,4,s,23,8,2024,12
Av. Edmundo Pérez Zujovic,-70.392108,-23.606344,JAM,21,4,s,23,8,2024,14
Av. Edmundo Pérez Zujovic,-70.396007,-23.631394,JAM,22,4,s,23,8,2024,18
Av. Grecia,-70.405365,-23.666236,ACCIDENT,0,5,f,24,8,2024,55
Av. Edmundo Pérez Zujovic,-70.394717,-23.588128,JAM,9,5,f,24,8,2024,46
Av. Grecia,-70.402593,-23.656588,ACCIDENT,10,5,f,24,8,2024,0
Av. Antonio Rendic,-70.383985,-23.618033,ACCIDENT,10,5,f,24,8,2024,9
Av. Grecia,-70.402562,-23.65332,ACCIDENT,10,5,f,24,8,2024,9
Av. Grecia,-70.405939,-23.667397,JAM,10,5,f,24,8,2024,28
Av. Grecia,-70.402673,-23.65342,JAM,10,5,f,24,8,2024,39
Av. Antonio Rendic,-70.389054,-23.635579,JAM,11,5,f,24,8,2024,9
Av. Antonio Rendic,-70.389526,-23.62804,JAM,11,5,f,24,8,2024,8
Av. Edmundo Pérez Zujovic,-70.394539,-23.587884,ACCIDENT,11,5,f,24,8,2024,9
Av. Edmundo Pérez Zujovic,-70.392232,-23.610078,ACCIDENT,11,5,f,24,8,2024,16
Av. Edmundo Pérez Zujovic,-70.392243,-23.60886,JAM,11,5,f,24,8,2024,17
Av. Edmundo Pérez Zujovic,-70.397058,-23.593139,JAM,11,5,f,24,8,2024,40
Av. Edmundo Pérez Zujovic,-70.39512,-23.588877,JAM,11,5,f,24,8,2024,41
Av. Edmundo Pérez Zujovic,-70.393301,-23.585833,JAM,11,5,f,24,8,2024,42
Av. Edmundo Pérez Zujovic,-70.393826,-23.586747,JAM,12,5,f,24,8,2024,9
Av. Séptimo de Línea,-70.396015,-23.639528,ACCIDENT,12,5,f,24,8,2024,11
Av. Óscar Bonilla,-70.379552,-23.578208,JAM,12,5,f,24,8,2024,8
Av. Óscar Bonilla,-70.379386,-23.580174,JAM,12,5,f,24,8,2024,9
Av. Edmundo Pérez Zujovic,-70.396023,-23.573796,ACCIDENT,12,5,f,24,8,2024,13
Av. Séptimo de Línea,-70.395814,-23.638859,JAM,12,5,f,24,8,2024,18
Av. Edmundo Pérez Zujovic,-70.396926,-23.572339,JAM,12,5,f,24,8,2024,26
Av. Edmundo Pérez Zujovic,-70.396241,-23.62944,JAM,12,5,f,24,8,2024,23
Av. Edmundo Pérez Zujovic,-70.396137,-23.630841,JAM,12,5,f,24,8,2024,29
Av. Iquique,-70.394001,-23.629511,JAM,12,5,f,24,8,2024,33
Av. Edmundo Pérez Zujovic,-70.396363,-23.629337,JAM,12,5,f,24,8,2024,37
Av. Edmundo Pérez Zujovic,-70.395812,-23.632506,JAM,12,5,f,24,8,2024,46
Av. Edmundo Pérez Zujovic,-70.395856,-23.634791,JAM,12,5,f,24,8,2024,43
Av. Pedro Aguirre Cerda,-70.388648,-23.615334,JAM,12,5,f,24,8,2024,55
Av. Pedro Aguirre Cerda,-70.388945,-23.605335,JAM,12,5,f,24,8,2024,53
Av. Pedro Aguirre Cerda,-70.388822,-23.616122,JAM,12,5,f,24,8,2024,55
Av. Edmundo Pérez Zujovic,-70.394856,-23.623374,JAM,13,5,f,24,8,2024,1
Av. Edmundo Pérez Zujovic,-70.395945,-23.631579,JAM,13,5,f,24,8,2024,1
Av. Edmundo Pérez Zujovic,-70.395809,-23.633277,JAM,13,5,f,24,8,2024,8
Av. Edmundo Pérez Zujovic,-70.392676,-23.619635,JAM,13,5,f,24,8,2024,8
Av. Edmundo Pérez Zujovic,-70.396301,-23.630477,JAM,13,5,f,24,8,2024,10
Av. Séptimo de Línea,-70.396134,-23.639923,JAM,13,5,f,24,8,2024,12
Av. Edmundo Pérez Zujovic,-70.395764,-23.625067,JAM,13,5,f,24,8,2024,12
Av. Balmaceda,-70.398493,-23.644252,JAM,13,5,f,24,8,2024,26
Av. Edmundo Pérez Zujovic,-70.395931,-23.63196,JAM,13,5,f,24,8,2024,31
Av. Edmundo Pérez Zujovic,-70.395681,-23.636264,JAM,13,5,f,24,8,2024,28
Av. Edmundo Pérez Zujovic,-70.39583,-23.635718,JAM,13,5,f,24,8,2024,35
Av. Iquique,-70.393485,-23.625859,JAM,13,5,f,24,8,2024,39
Nicolás Tirado,-70.390525,-23.592178,JAM,13,5,f,24,8,2024,42
Av. Balmaceda,-70.398002,-23.643734,JAM,13,5,f,24,8,2024,39
Av. Edmundo Pérez Zujovic,-70.395856,-23.634367,JAM,13,5,f,24,8,2024,45
Av. Grecia,-70.402526,-23.652546,JAM,13,5,f,24,8,2024,51
Av. Edmundo Pérez Zujovic,-70.395798,-23.633125,JAM,13,5,f,24,8,2024,49
Av. Séptimo de Línea,-70.395981,-23.639417,JAM,13,5,f,24,8,2024,48
Av. Grecia,-70.402491,-23.651705,JAM,13,5,f,24,8,2024,51
Av. Balmaceda,-70.402313,-23.647349,JAM,14,5,f,24,8,2024,33
Av. Edmundo Pérez Zujovic,-70.396071,-23.590366,ACCIDENT,15,5,f,24,8,2024,49
Av. Edmundo Pérez Zujovic,-70.396166,-23.590564,ACCIDENT,15,5,f,24,8,2024,55
Av. Óscar Bonilla,-70.378817,-23.587166,JAM,17,5,f,24,8,2024,25
Av. Óscar Bonilla,-70.37886,-23.586173,ACCIDENT,17,5,f,24,8,2024,25
Av. Balmaceda,-70.401212,-23.646392,JAM,17,5,f,24,8,2024,50
Av. Balmaceda,-70.398558,-23.644771,JAM,18,5,f,24,8,2024,30
Av. Grecia,-70.402515,-23.652306,JAM,19,5,f,24,8,2024,26
Av. Edmundo Pérez Zujovic,-70.3923,-23.602133,JAM,19,5,f,24,8,2024,59
Av. Edmundo Pérez Zujovic,-70.395673,-23.632672,JAM,20,5,f,24,8,2024,9
Av. Edmundo Pérez Zujovic,-70.396046,-23.631241,JAM,20,5,f,24,8,2024,9
Av. Edmundo Pérez Zujovic,-70.393643,-23.62175,JAM,20,5,f,24,8,2024,37
Av. Edmundo Pérez Zujovic,-70.393009,-23.620723,JAM,20,5,f,24,8,2024,37
Av. Óscar Bonilla,-70.378786,-23.588614,JAM,20,5,f,24,8,2024,38
Av. Antonio Rendic,-70.384091,-23.610378,JAM,20,5,f,24,8,2024,42
Av. Edmundo Pérez Zujovic,-70.392494,-23.619391,JAM,20,5,f,24,8,2024,39
Av. Edmundo Pérez Zujovic,-70.392311,-23.617779,JAM,20,5,f,24,8,2024,40
Av. Edmundo Pérez Zujovic,-70.396056,-23.6312,JAM,20,5,f,24,8,2024,45
Av. Edmundo Pérez Zujovic,-70.394517,-23.623082,JAM,21,5,f,24,8,2024,29
Av. Grecia,-70.403178,-23.659586,ACCIDENT,10,6,f,25,8,2024,2
Av. Antonio Rendic,-70.384144,-23.618418,JAM,11,6,f,25,8,2024,11
Av. Pedro Aguirre Cerda,-70.389952,-23.589051,JAM,11,6,f,25,8,2024,15
Av. Pedro Aguirre Cerda,-70.389754,-23.591438,JAM,11,6,f,25,8,2024,26
Av. Pedro Aguirre Cerda,-70.389963,-23.588928,JAM,12,6,f,25,8,2024,52
Av. Antonio Rendic,-70.389456,-23.627532,ACCIDENT,18,6,f,25,8,2024,4
Av. Edmundo Pérez Zujovic,-70.39689,-23.592133,JAM,18,6,f,25,8,2024,34
Av. Pedro Aguirre Cerda,-70.390107,-23.587089,JAM,19,6,f,25,8,2024,23
Av. Pedro Aguirre Cerda,-70.390926,-23.577747,JAM,19,6,f,25,8,2024,35
Av. Séptimo de Línea,-70.396207,-23.640599,JAM,19,6,f,25,8,2024,56
Av. Edmundo Pérez Zujovic,-70.396579,-23.591419,ACCIDENT,20,6,f,25,8,2024,10
Av. Iquique,-70.393363,-23.639809,JAM,20,6,f,25,8,2024,52
Av. Iquique,-70.393378,-23.639371,JAM,20,6,f,25,8,2024,53
Av. Óscar Bonilla,-70.378756,-23.590392,JAM,21,6,f,25,8,2024,4
Av. Argentina,-70.396876,-23.662193,JAM,21,6,f,25,8,2024,24
Av. Grecia,-70.405687,-23.666876,JAM,22,6,f,25,8,2024,29
Av. Grecia,-70.405376,-23.666258,ACCIDENT,22,6,f,25,8,2024,30
Av. Grecia,-70.405954,-23.667428,JAM,23,6,f,25,8,2024,16
Av. Grecia,-70.405103,-23.665664,ACCIDENT,23,6,f,25,8,2024,22
Av. Grecia,-70.403756,-23.662515,ACCIDENT,0,0,s,26,8,2024,7
Av. Óscar Bonilla,-70.379831,-23.57483,JAM,6,0,s,26,8,2024,38
Av. Edmundo Pérez Zujovic,-70.396769,-23.572653,JAM,6,0,s,26,8,2024,59
Av. Edmundo Pérez Zujovic,-70.392587,-23.60153,JAM,7,0,s,26,8,2024,6
Av. Edmundo Pérez Zujovic,-70.394934,-23.588426,JAM,7,0,s,26,8,2024,7
Av. Pedro Aguirre Cerda,-70.389747,-23.591655,JAM,7,0,s,26,8,2024,13
Av. Pedro Aguirre Cerda,-70.388678,-23.615472,JAM,7,0,s,26,8,2024,15
Av. Edmundo Pérez Zujovic,-70.397258,-23.571347,JAM,7,0,s,26,8,2024,14
Av. Iquique,-70.39411,-23.628825,JAM,7,0,s,26,8,2024,16
Av. Edmundo Pérez Zujovic,-70.393825,-23.586745,JAM,7,0,s,26,8,2024,19
Av. Edmundo Pérez Zujovic,-70.396344,-23.595964,JAM,7,0,s,26,8,2024,23
Av. Grecia,-70.402637,-23.652416,JAM,7,0,s,26,8,2024,27
Av. Edmundo Pérez Zujovic,-70.39224,-23.610037,JAM,7,0,s,26,8,2024,27
Av. Edmundo Pérez Zujovic,-70.392411,-23.617363,JAM,7,0,s,26,8,2024,32
